company,ticker,rank,total_score,valuation_score,reverse_dcf_score,normalization_confidence,confidence_reasons,size_bucket,discount_rate,reinvestment_roic,net_reinvestment_rate,ebit_margin_3y,ebit_margin_5y,reported_fcf_margin_3y,reported_fcf_margin_5y,operating_cash_flow_margin_3y,operating_cash_flow_margin_5y,negative_fcf_years,fcf_margin_stddev,material_window_disagreement,material_aggregate_investing,revenue_growth_status,revenue_growth_implied,ebit_margin_status,ebit_margin_implied,terminal_growth_status,terminal_growth_implied
Guldbrev,GULD,1,91.7,91.8,98.4,medium,,micro,0.138,4.162254028320312,0.005280304710298184,0.18546809747845852,,0.15112068509805993,,0.17357403393772797,,0,0.05297741529869248,False,False,outside_bounds,,solved,0.06739255785942078,outside_bounds,
Zinzino,ZZ B,2,87.5,86.4,46.0,medium,,small,0.133,0.8707095336914062,0.014001924265813937,0.1147158704693755,0.10288277593476151,0.1223557537785692,0.10306449876596371,0.15005135653746154,0.12774621221473714,0,0.04719692151469371,False,False,solved,0.16070992946624754,solved,0.10689462535083294,solved,0.02658447265625
Betsson,BETS B,3,75.9,94.8,93.0,medium,,lower_mid,0.128,0.18513399124145508,0.1265028929097952,0.22171356644809506,0.2071927122023088,0.12771351892853333,0.13132710820724766,0.22174837728984886,0.2226621963199942,0,0.033717196230797615,False,False,solved,-0.016658148169517523,solved,0.13169547729194164,outside_bounds,
Micro Systemation,MSAB B,4,73.1,42.8,0.4,medium,,small,0.133,1.1384369659423828,0.006388347511193128,0.12077294685990338,0.11018490451652015,0.1454729624435094,0.12367384055774477,0.1713417484805984,0.1414064868141861,0,0.05174193319526007,False,False,outside_bounds,,solved,0.35260434448719025,outside_bounds,
Generic Sweden,GENI,5,72.2,62.2,35.2,medium,,micro,0.138,1.2322059631347657,0.01665551413874713,0.19893101059091362,0.19934749762665632,0.1803622686330793,0.16495741352337912,0.16951400574086906,0.16141411170091857,0,0.03412759110883593,False,False,solved,0.1616547584533691,solved,0.22336769104003906,solved,0.038771959543228145
Nordrest,NREST,6,70.6,37.2,30.3,medium,,small,0.133,0.4876564025878906,0.022118691995991813,0.09102381239421889,,0.04376069553672219,,0.06913563623667413,,0,0.011413361009354405,False,False,solved,0.2065177261829376,solved,0.1104372264817357,outside_bounds,
Clas Ohlson,CLAS B,7,70.5,43.9,2.7,medium,,upper_mid,0.123,0.3828190994262695,0.020214192651404634,0.09935558949741799,0.08507967535765276,0.12842534002472908,0.11613725433830646,0.15819041384827986,0.14113126551106256,0,0.02552698183013691,False,False,outside_bounds,,solved,0.2005614647641778,outside_bounds,
I-Tech,ITECH,8,68.9,53.3,2.7,low,reported FCF is non-positive in 1 observed year(s) | annual reported FCF margins are highly volatile,micro,0.138,1.049561996459961,0.021524975178739594,0.2312839287968691,0.19064806685526614,0.27715355805243447,0.24126101518551032,0.28386567352606995,0.24930901050304033,1,0.14018943817228396,False,False,outside_bounds,,solved,0.3547317832708359,outside_bounds,
Hemnet,HEM,9,67.5,62.8,7.6,medium,,lower_mid,0.128,0.23185930252075196,0.15,0.4464617184122867,0.42438427192856115,0.37452640679431437,0.37197537087714244,0.39690289114348926,0.3874225838974507,0,0.016287288742717513,False,False,solved,0.2697068214416505,outside_bounds,,outside_bounds,
Byggpartner,BYGGP,10,67.4,72.6,2.3,low,reported FCF is non-positive in 2 observed year(s) | annual reported FCF margins are highly volatile,small,0.133,0.30655080795288087,0.0006693521359005555,0.005136283490827483,0.002904504580088627,0.012662624667322016,0.0021060399203728136,0.01632878184397394,0.012649586991175419,2,0.03804539180291589,False,False,outside_bounds,,solved,0.038137322291731834,outside_bounds,
Vuxen Group,VUXEN,11,67.2,60.1,1.9,low,reported FCF is non-positive in 2 observed year(s) | annual reported FCF margins are highly volatile,micro,0.138,0.2113821029663086,0.012599066393133301,0.045312267103890295,0.04275348107472054,0.06826650767625578,0.03000588350656992,0.07169473841108959,0.043930182388703665,2,0.05679319456138791,False,False,outside_bounds,,solved,0.13984206318855286,outside_bounds,
Lime Technologies,LIME,12,67.1,50.5,1.4,low,reported FCF is non-positive in 1 observed year(s) | annual reported FCF margins are highly volatile | aggregate investing cash flow is material and may include acquisitions or disposals,small,0.133,0.23184329986572266,0.09851513535317286,0.19606850083664767,0.19311039248906314,0.1229996176743678,0.08200653632955197,0.2611830247419302,0.2643708181408919,1,0.16930346625305248,False,True,outside_bounds,,solved,0.39892434142529964,outside_bounds,
Avtech,AVT B,14,66.9,39.9,2.2,low,reported FCF is non-positive in 1 observed year(s) | annual reported FCF margins are highly volatile,micro,0.138,0.6785713958740235,0.0431950922803793,0.29254901960784313,0.24734982332155475,0.23921568627450981,0.19434628975265017,0.23921568627450981,0.19434628975265017,1,0.14173114230355344,False,False,outside_bounds,,solved,0.43521761894226074,outside_bounds,
Karnov,KAR,15,66.0,81.8,1.5,low,reported FCF is non-positive in 3 observed year(s) | annual reported FCF margins are highly volatile | three- and five-year normalized margins materially disagree | aggregate investing cash flow is material and may include acquisitions or disposals,lower_mid,0.128,0.2092388916015625,0.0946070142515533,0.1848940089774526,0.1670503527403227,0.13105523987441947,-0.054107468527604265,0.1287849303339301,0.1631801578800322,3,0.5905737695470811,True,True,outside_bounds,,solved,0.35562803596258163,outside_bounds,
Plejd,PLEJD,16,65.8,28.0,0.2,low,reported FCF is non-positive in 3 observed year(s) | annual reported FCF margins are highly volatile,lower_mid,0.128,0.30885650634765627,0.06395167766862182,0.1716077929545924,0.1666826307156284,0.03443737572942525,0.008476909998682964,0.1607023540035879,0.14173082218843164,3,0.06657584011060186,False,False,outside_bounds,,outside_bounds,,outside_bounds,
Navigo Invest,NAVIGO STAM,17,64.5,79.7,5.6,low,reported FCF is non-positive in 3 observed year(s) | annual reported FCF margins are highly volatile | three- and five-year normalized margins materially disagree | aggregate investing cash flow is material and may include acquisitions or disposals,micro,0.138,0.051847891807556154,0.027083937065836738,-0.06035372571759931,0.03428346464029967,-0.021907799362133953,-0.11313752987602325,0.029022905189910117,0.03032096050541147,3,0.19402239593040094,True,True,outside_bounds,,solved,0.075630784034729,outside_bounds,
White Pearl Technology,WPTG B,18,64.5,44.5,85.0,low,reported FCF is non-positive in 1 observed year(s) | annual reported FCF margins are highly volatile | three- and five-year normalized margins materially disagree,micro,0.138,0.2689970970153809,0.06845777714502169,0.1591850600636023,0.15540036557077402,0.006520651876456766,0.10066310931877608,0.10197129403327324,0.18349029925984212,1,0.9436052337951509,True,False,solved,0.03752534389495848,solved,0.10984907299280167,outside_bounds,
Invisio,IVSO,19,64.2,28.6,0.3,low,reported FCF is non-positive in 1 observed year(s) | annual reported FCF margins are highly volatile | aggregate investing cash flow is material and may include acquisitions or disposals,lower_mid,0.128,0.2508057975769043,0.08020312108482737,0.19948560316165861,0.16975027638681148,0.08590008991489449,0.051716849840671125,0.14482571147774081,0.13417766794563307,1,0.10407134362205563,False,True,outside_bounds,,solved,0.4897058680653572,outside_bounds,
