company,ticker,old_rank,new_rank,rank_improvement,old_total_score,new_total_score,old_reverse_dcf_score,new_reverse_dcf_score,old_dcf_status,size_bucket,baseline_discount_rate,current_ebit_margin,normalized_ebit_margin_5y,current_fcf_margin,normalized_fcf_margin_5y,ebit_3y_margin,ebit_5y_margin,fcf_3y_margin,fcf_5y_margin,negative_fcf_years,fcf_margin_stdev,fcf_margin_range,fcf_sign_changes,fcf_unreliable,old_implied_revenue_growth,new_implied_revenue_growth,old_implied_ebit_margin,new_implied_ebit_margin,new_outside_bounds_count
Guldbrev,GULD,1,1,0,92.0,92.0,99.9,99.7,available,micro,0.138,0.2176217422491432,0.18546809747845852,0.19235673866262853,0.15112068509805993,0.18546809747845852,,0.15112068509805993,,0,0.05297741529869248,0.13827619635389687,0,False,outside_bounds,outside_bounds,0.01682654395699501,0.05894482880830765,2
Zinzino,ZZ B,2,2,0,89.5,88.5,99.6,82.9,available,small,0.133,0.13275167215803838,0.10288277593476151,0.16373714948315116,0.10306449876596371,0.1147158704693755,0.10288277593476151,0.1223557537785692,0.10306449876596371,0,0.04719692151469371,0.12967234610563008,0,False,-0.0989969402551651,0.07808176279067991,0.005164884030818939,0.07152101770043373,1
Betsson,BETS B,3,3,0,76.2,76.2,99.7,99.3,available,lower_mid,0.128,0.1642401328382857,0.2071927122023088,0.13570919953455252,0.13132710820724766,0.22171356644809506,0.2071927122023088,0.12771351892853333,0.13132710820724766,0,0.033717196230797615,0.08874952341872908,0,False,outside_bounds,-0.07975424528121951,0.04170452430844307,0.10878715477883816,1
Generic Sweden,GENI,4,4,0,75.0,72.1,95.6,46.9,available,micro,0.138,0.2044096653095754,0.19934749762665632,0.19864643366996246,0.16495741352337912,0.19893101059091362,0.19934749762665632,0.1803622686330793,0.16495741352337912,0,0.03412759110883593,0.09381001621680544,0,False,-0.009386384487152108,0.13596782684326175,0.09407452493906021,0.20383021235466003,0
Micro Systemation,MSAB B,5,5,0,74.8,71.9,50.6,1.5,available,small,0.133,0.17929144646701897,0.11018490451652015,0.19201409277745154,0.12367384055774477,0.12077294685990338,0.11018490451652015,0.1454729624435094,0.12367384055774477,0,0.05174193319526007,0.14819016665982365,0,False,0.08252730369567868,0.2997259497642516,0.17828188836574554,0.29933102428913116,1
Clas Ohlson,CLAS B,6,6,0,73.9,70.3,79.7,21.0,available,upper_mid,0.123,0.12203230008230848,0.08507967535765276,0.14432750781131382,0.11613725433830646,0.09935558949741799,0.08507967535765276,0.12842534002472908,0.11613725433830646,0,0.02552698183013691,0.053749845277931724,0,False,0.052884873747825606,0.1754762515425682,0.08110908651724458,0.12303688703104854,1
Nordrest,NREST,10,7,3,69.5,68.9,15.1,4.3,available,small,0.133,0.10049401929027704,0.09102381239421889,0.039510685655344636,0.04376069553672219,0.09102381239421889,,0.04376069553672219,,0,0.011413361009354405,0.02879254309479272,0,False,0.22858821451663963,outside_bounds,0.11797000281512737,0.13333099521696568,2
I-Tech,ITECH,7,8,-1,71.7,67.2,87.8,13.0,available,micro,0.138,0.2509710188228264,0.19064806685526614,0.27929489094711685,0.24126101518551032,0.2312839287968691,0.19064806685526614,0.27715355805243447,0.24126101518551032,1,0.14018943817228396,0.4257097913374993,1,True,0.06618129611015316,0.23052115440368653,0.16120192408561707,0.2772722840309143,1
White Pearl Technology,WPTG B,22,9,13,61.3,66.9,1.5,95.9,available,micro,0.138,0.1680713128038898,0.15540036557077402,0.004736178642175401,0.10066310931877608,0.1591850600636023,0.15540036557077402,0.006520651876456766,0.10066310931877608,1,0.9436052337951509,2.469952821001037,2,True,outside_bounds,0.007073068618774406,0.2103929966688156,0.10127696394920349,1
Hemnet,HEM,9,10,-1,69.7,66.7,72.6,21.6,available,lower_mid,0.128,0.3863551261888714,0.42438427192856115,0.3384258219126788,0.37197537087714244,0.4464617184122867,0.42438427192856115,0.37452640679431437,0.37197537087714244,0,0.016287288742717513,0.042848117133752694,0,False,0.12228826880455015,0.1813777804374695,0.3420165926218033,0.482996329665184,0
